,t,hexbug,x,y
0,0,0,242,48
1,0,1,82,26
2,0,2,74,173
3,1,0,237,68
4,1,1,59,24
5,1,2,48,176
6,2,0,214,87
7,2,1,69,26
8,2,2,30,175
9,3,0,196,100
10,3,1,13,165
11,3,2,11,19
12,4,0,176,108
13,4,1,30,153
14,4,2,11,14
15,5,0,155,113
16,5,1,36,138
17,5,2,14,11
18,6,0,132,119
19,6,1,51,127
20,6,2,29,11
21,7,0,111,124
22,7,1,67,124
23,7,2,26,8
24,8,0,92,121
25,8,1,83,130
26,8,2,24,8
27,9,0,91,148
28,9,1,72,113
29,9,2,23,6
30,10,0,85,165
31,10,1,60,112
32,10,2,36,10
33,11,0,37,9
34,11,1,73,178
35,11,2,39,114
36,12,0,17,114
37,12,1,53,187
38,12,2,35,11
39,13,0,11,112
40,13,1,27,188
41,13,2,38,9
42,14,0,14,98
43,14,1,8,189
44,14,2,53,13
45,15,0,25,83
46,15,1,14,199
47,15,2,69,28
48,16,0,34,74
49,16,1,12,217
50,16,2,81,37
51,17,0,40,63
52,17,1,91,45
53,17,2,28,228
54,18,0,47,58
55,18,1,94,57
56,18,2,19,242
57,19,0,54,54
58,19,1,100,68
59,19,2,13,252
60,20,0,63,50
61,20,1,111,76
62,20,2,18,255
63,21,0,76,50
64,21,1,129,88
65,21,2,23,251
66,22,0,92,56
67,22,1,147,99
68,22,2,26,251
69,23,0,109,64
70,23,1,33,255
71,23,2,22,253
72,24,0,119,54
73,24,1,7,255
74,24,2,17,254
75,25,0,133,54
76,25,1,41,245
77,25,2,175,140
78,26,0,145,60
79,26,1,61,242
80,26,2,186,157
81,27,0,160,63
82,27,1,76,245
83,27,2,197,172
84,28,0,165,50
85,28,1,93,255
86,28,2,179,171
87,29,0,180,51
88,29,1,42,255
89,29,2,228,199
90,30,0,246,213
91,30,1,0,10
92,30,2,194,66
93,31,0,200,81
94,31,1,18,255
95,31,2,242,230
96,32,0,244,249
97,32,1,113,225
98,32,2,200,96
99,33,0,239,248
100,33,1,132,223
101,33,2,202,110
102,34,0,244,241
103,34,1,207,124
104,34,2,252,249
105,35,0,201,136
106,35,1,168,245
107,35,2,229,252
108,36,0,223,249
109,36,1,177,251
110,36,2,193,148
111,37,0,222,250
112,37,1,186,234
113,37,2,193,159
114,38,0,234,249
115,38,1,182,173
116,38,2,203,234
117,39,0,235,249
118,39,1,221,246
119,39,2,177,187
120,40,0,240,247
121,40,1,221,248
122,40,2,163,200
123,41,0,237,248
124,41,1,213,249
125,41,2,152,210
126,42,0,238,249
127,42,1,204,254
128,42,2,135,220
129,43,0,245,241
130,43,1,207,251
131,43,2,111,227
132,44,0,240,243
133,44,1,89,229
134,44,2,62,255
135,45,0,242,227
136,45,1,65,230
137,45,2,226,238
138,46,0,234,196
139,46,1,47,240
140,46,2,234,245
141,47,0,231,176
142,47,1,24,244
143,47,2,238,237
144,48,0,226,159
145,48,1,51,255
146,48,2,9,248
147,49,0,255,250
148,49,1,11,238
149,49,2,223,143
150,50,0,214,124
151,50,1,15,220
152,50,2,233,229
153,51,0,198,111
154,51,1,19,207
155,51,2,231,218
156,52,0,241,210
157,52,1,19,196
158,52,2,175,101
159,53,0,151,96
160,53,1,16,213
161,53,2,27,185
162,54,0,133,91
163,54,1,34,175
164,54,2,219,194
165,55,0,44,163
166,55,1,148,0
167,55,2,203,181
168,56,0,55,158
169,56,1,92,82
170,56,2,196,163
171,57,0,70,156
172,57,1,64,78
173,57,2,196,147
174,58,0,79,161
175,58,1,43,75
176,58,2,206,135
177,59,0,93,162
178,59,1,55,169
179,59,2,224,125
180,60,0,102,157
181,60,1,10,68
182,60,2,237,118
183,61,0,110,153
184,61,1,16,56
185,61,2,233,107
186,62,0,116,151
187,62,1,19,45
188,62,2,80,163
189,63,0,127,150
190,63,1,234,9
191,63,2,222,255
192,64,0,145,149
193,64,1,222,255
194,64,2,26,17
195,65,0,159,158
196,65,1,119,151
197,65,2,22,9
198,66,0,216,46
199,66,1,176,161
200,66,2,33,10
201,67,0,231,33
202,67,1,189,162
203,67,2,59,22
204,68,0,251,30
205,68,1,69,35
206,68,2,208,166
207,69,0,250,23
208,69,1,80,49
209,69,2,218,163
210,70,0,237,46
211,70,1,80,67
212,70,2,232,170
213,71,0,242,179
214,71,1,74,82
215,71,2,203,68
216,72,0,243,195
217,72,1,77,76
218,72,2,168,74
219,73,0,241,211
220,73,1,41,108
221,73,2,150,63
222,74,0,229,224
223,74,1,15,122
224,74,2,148,51
225,75,0,214,232
226,75,1,20,139
227,75,2,137,39
228,76,0,195,241
229,76,1,20,155
230,76,2,133,28
231,77,0,129,13
232,77,1,35,169
233,77,2,174,247
234,78,0,138,7
235,78,1,67,255
236,78,2,159,236
237,79,0,160,9
238,79,1,67,255
239,79,2,141,228
240,80,0,127,223
241,80,1,181,17
242,80,2,140,13
243,81,0,112,211
244,81,1,88,221
245,81,2,192,33
246,82,0,98,199
247,82,1,74,210
248,82,2,188,50
249,83,0,80,192
250,83,1,103,242
251,83,2,178,67
252,84,0,100,250
253,84,1,156,80
254,84,2,67,184
255,85,0,55,178
256,85,1,44,255
257,85,2,133,73
258,86,0,47,165
259,86,1,124,233
260,86,2,115,69
261,87,0,36,157
262,87,1,136,223
263,87,2,92,71
264,88,0,25,156
265,88,1,140,214
266,88,2,75,66
267,89,0,14,149
268,89,1,146,197
269,89,2,63,57
270,90,0,27,137
271,90,1,142,180
272,90,2,49,43
273,91,0,40,127
274,91,1,126,164
275,91,2,30,37
276,92,0,42,118
277,92,1,104,155
278,92,2,12,18
279,93,0,44,107
280,93,1,85,144
281,93,2,29,9
282,94,0,27,95
283,94,1,35,9
284,94,2,252,3
285,95,0,17,85
286,95,1,52,10
287,95,2,63,22
288,96,0,27,74
289,96,1,30,103
290,96,2,73,44
291,97,0,46,65
292,97,1,9,113
293,97,2,70,64
294,98,0,67,79
295,98,1,14,108
296,98,2,55,67
297,99,0,66,92
298,99,1,14,99
299,99,2,52,71
300,100,0,62,65
301,100,1,23,74
302,100,2,27,10
