,t,hexbug,x,y
0,0,0,125.33944954128438,87.78899082568807
1,1,0,190.40902726535165,60.96694003351538
2,2,0,268.61990956549073,103.68716986132245
3,3,0,350.1169633908458,120.11802748740209
4,4,0,396.12336474386876,128.6620734529635
5,5,0,449.3593434523667,124.06143331766131
6,6,0,540.7149118533695,112.88845013192716
7,7,0,616.2968569333359,179.92634924633205
8,8,0,697.7939107586908,201.61508131275716
9,9,0,789.1494791596936,202.92954992284356
10,10,0,894.3069679666031,131.94824497817947
11,11,0,985.0053020625624,64.25311155873146
12,12,0,1036.269577855931,66.88204877890419
13,13,0,1034.9551092458446,65.56758016881781
14,14,0,1039.5557493811468,39.9354422721336
15,15,0,1039.5557493811468,39.278207967090424
16,16,0,1007.3512684340308,40.592676577176775
17,17,0,1007.3512684340308,40.592676577176775
18,18,0,1023.1248917550672,39.9354422721336
19,19,0,1036.269577855931,37.30650505196087
20,20,0,1031.6689377206285,41.907145187263154
21,21,0,996.1782852482966,37.963739357004044
22,22,0,881.8195161707823,71.4826889142065
23,23,0,768.0337565269085,116.98990536555803
24,24,0,706.1151975856424,215.1750488295656
25,25,0,660.1185538007019,270.017201034687
26,26,0,599.084545701454,342.55037008017007
27,27,0,538.9350884442241,433.6591068080329
28,28,0,538.9350884442241,472.5793438568287
29,29,0,615.8910116997976,507.0768266955341
30,30,0,727.3444177940764,501.7695216434256
31,31,0,815.7995019958851,537.1515553241491
32,32,0,918.4073996699835,563.688080584692
33,33,0,1028.9762549222446,589.3400550032165
34,34,0,967.0576959809783,686.6406476252062
35,35,0,915.7537471439291,751.212859092527
36,36,0,922.8301538800739,843.206146662408
37,37,0,923.7147047220919,950.2367985465966
38,38,0,934.329314826309,1053.7292470627128
39,39,0,950.2512299826346,1166.9517548410279
40,40,0,950.2512299826346,1164.2981023149737
41,41,0,932.5602131422728,1186.411873365426
42,42,0,883.02536598926,1133.3388228443407
43,43,0,815.7995019958853,1157.221695578829
44,44,0,735.305375372239,1183.7582208393715
45,45,0,669.8486130629007,1183.7582208393715
46,46,0,612.352808331725,1169.605407367082
47,47,0,577.8553254930197,1172.259059893136
48,48,0,544.2423934963323,1174.0281615771723
49,49,0,502.6685039214821,1167.8363056830453
50,50,0,437.2117416121437,1174.91271241919
51,51,0,363.7940217246426,1173.143610735154
52,52,0,297.4527085732862,1161.6444497889188
53,53,0,252.3406156303637,1128.0315177922312
54,54,0,185.99930247900724,1091.7649332694896
55,55,0,100.19787080325295,1071.4202639030734
56,56,0,48.89392196620396,1052.8446962206935
57,57,0,48.009371124185876,982.9651797012648
58,58,0,85.16050648894549,902.471053077619
59,59,0,92.23691322509018,829.0533331901178
60,60,0,66.58493880656567,736.1754947782188
61,61,0,188.65295500506153,697.255257729423
62,62,0,241.7260055261467,636.221249630175
63,63,0,293.9145052052138,565.457182268728
64,64,0,238.18780215807436,454.00377617444923
65,65,0,146.19451458819344,378.8169546029119
66,66,0,94.89056575114444,302.7455821893565
67,67,0,70.12314217463805,224.90510809176496
68,68,0,78.96865059481891,179.79301514884256
69,69,0,106.38972669737956,151.4873882042638
70,70,0,83.39140480490934,79.83877000079882
71,71,0,49.77847280822207,57.724998950346674
72,72,0,48.0093711241859,51.53314305622007
73,73,0,48.0093711241859,51.53314305622007
74,74,0,51.54757449225824,47.994939688147724
75,75,0,51.54757449225824,47.994939688147724
76,76,0,60.39308291243909,47.994939688147724
77,77,0,52.43212533427633,46.22583800411155
78,78,0,48.0093711241859,43.57218547805729
79,79,0,54.2012270183125,46.22583800411155
80,80,0,80.73775227885508,47.11038884612964
81,81,0,60.39308291243909,40.03398210998495
82,82,0,48.0093711241859,43.57218547805729
83,83,0,138.23355701003067,48.87949053016581
84,84,0,225.80409036982115,60.37865147640093
85,85,0,346.10300488428084,132.02726967986592
86,86,0,442.51904666425224,158.56379494040848
87,87,0,554.8570036005491,102.8370918932693
88,88,0,625.6210709619959,93.99158347308847
89,89,0,714.9607060058228,98.41433768317884
90,90,0,780.417468315161,109.91349862941397
91,91,0,847.6433323085356,93.10703263107033
92,92,0,926.3683572481452,44.456736320075606
93,93,0,1013.9388906079357,83.37697336887138
94,94,0,1042.2445175525136,70.10871073860011
95,95,0,1019.2461956600434,228.44331145983733
96,96,0,1036.052661658387,325.7439040818267
97,97,0,980.3259586112478,388.5470138651108
98,98,0,978.5568569272116,478.7711997509555
99,99,0,974.1341027171214,603.4928684755054
100,100,0,968.0366972477063,726.8715596330275
